+-----------+-------------+------------+--------------+------+
| start_doc | current_doc | supervisor | doctor_ranks | lvl  |
|        30 |          15 |       NULL | Director     |    1 |
|        31 |          31 |          1 | Attending A  |    0 |
|        31 |           1 |       NULL | Director     |    1 |
|        32 |          32 |          2 | Attending A  |    0 |
|        32 |           2 |       NULL | Director     |    1 |
|        33 |          33 |          3 | Attending A  |    0 |
|        33 |           3 |       NULL | Director     |    1 |
|        34 |          34 |          4 | Attending A  |    0 |
|        34 |           4 |       NULL | Director     |    1 |
|        35 |          35 |          5 | Attending A  |    0 |
|        35 |           5 |       NULL | Director     |    1 |
|        36 |          36 |         16 | Attending B  |    0 |
|        36 |          16 |          1 | Attending A  |    1 |
|        36 |           1 |       NULL | Director     |    2 |
|        37 |          37 |         17 | Attending B  |    0 |
|        37 |          17 |          2 | Attending A  |    1 |
|        37 |           2 |       NULL | Director     |    2 |
|        38 |          38 |         18 | Attending B  |    0 |
|        38 |          18 |          3 | Attending A  |    1 |
|        38 |           3 |       NULL | Director     |    2 |
|        39 |          39 |         19 | Attending B  |    0 |
|        39 |          19 |          4 | Attending A  |    1 |
|        39 |           4 |       NULL | Director     |    2 |
|        40 |          40 |         20 | Attending B  |    0 |
|        40 |          20 |          5 | Attending A  |    1 |
|        40 |           5 |       NULL | Director     |    2 |
|        41 |          41 |         21 | Attending B  |    0 |
|        41 |          21 |          6 | Attending A  |    1 |
|        41 |           6 |       NULL | Director     |    2 |
|        42 |          42 |         22 | Attending B  |    0 |
|        42 |          22 |          7 | Attending A  |    1 |
|        42 |           7 |       NULL | Director     |    2 |
|        43 |          43 |         23 | Attending B  |    0 |
|        43 |          23 |          8 | Attending A  |    1 |
|        43 |           8 |       NULL | Director     |    2 |
|        44 |          44 |         24 | Attending B  |    0 |
|        44 |          24 |          9 | Attending A  |    1 |
|        44 |           9 |       NULL | Director     |    2 |
|        45 |          45 |         25 | Attending B  |    0 |
|        45 |          25 |         10 | Attending A  |    1 |
|        45 |          10 |       NULL | Director     |    2 |
|        46 |          46 |         26 | Attending B  |    0 |
|        46 |          26 |         11 | Attending A  |    1 |
|        46 |          11 |       NULL | Director     |    2 |
|        47 |          47 |         27 | Attending B  |    0 |
|        47 |          27 |         12 | Attending A  |    1 |
|        47 |          12 |       NULL | Director     |    2 |
|        48 |          48 |         28 | Attending B  |    0 |
|        48 |          28 |         13 | Attending A  |    1 |
|        48 |          13 |       NULL | Director     |    2 |
|        49 |          49 |         29 | Attending B  |    0 |
|        49 |          29 |         14 | Attending A  |    1 |
|        49 |          14 |       NULL | Director     |    2 |
|        50 |          50 |         30 | Attending B  |    0 |
|        50 |          30 |         15 | Attending A  |    1 |
|        50 |          15 |       NULL | Director     |    2 |
|        51 |          51 |         31 | Attending B  |    0 |
|        51 |          31 |          1 | Attending A  |    1 |
|        51 |           1 |       NULL | Director     |    2 |
|        52 |          52 |         32 | Attending B  |    0 |
|        52 |          32 |          2 | Attending A  |    1 |
|        52 |           2 |       NULL | Director     |    2 |
|        53 |          53 |         33 | Attending B  |    0 |
|        53 |          33 |          3 | Attending A  |    1 |
|        53 |           3 |       NULL | Director     |    2 |
|        54 |          54 |         34 | Attending B  |    0 |
|        54 |          34 |          4 | Attending A  |    1 |
|        54 |           4 |       NULL | Director     |    2 |
|        55 |          55 |         35 | Attending B  |    0 |
|        55 |          35 |          5 | Attending A  |    1 |
|        55 |           5 |       NULL | Director     |    2 |
|        56 |          56 |         16 | Attending B  |    0 |
|        56 |          16 |          1 | Attending A  |    1 |
|        56 |           1 |       NULL | Director     |    2 |
|        57 |          57 |         17 | Attending B  |    0 |
|        57 |          17 |          2 | Attending A  |    1 |
|        57 |           2 |       NULL | Director     |    2 |
|        58 |          58 |         18 | Attending B  |    0 |
|        58 |          18 |          3 | Attending A  |    1 |
|        58 |           3 |       NULL | Director     |    2 |
|        59 |          59 |         19 | Attending B  |    0 |
|        59 |          19 |          4 | Attending A  |    1 |
|        59 |           4 |       NULL | Director     |    2 |
|        60 |          60 |         20 | Attending B  |    0 |
|        60 |          20 |          5 | Attending A  |    1 |
|        60 |           5 |       NULL | Director     |    2 |
|        61 |          61 |         36 | Resident     |    0 |
|        61 |          36 |         16 | Attending B  |    1 |
|        61 |          16 |          1 | Attending A  |    2 |
|        61 |           1 |       NULL | Director     |    3 |
|        62 |          62 |         37 | Resident     |    0 |
|        62 |          37 |         17 | Attending B  |    1 |
|        62 |          17 |          2 | Attending A  |    2 |
|        62 |           2 |       NULL | Director     |    3 |
|        63 |          63 |         38 | Resident     |    0 |
|        63 |          38 |         18 | Attending B  |    1 |
|        63 |          18 |          3 | Attending A  |    2 |
|        63 |           3 |       NULL | Director     |    3 |
|        64 |          64 |         39 | Resident     |    0 |
|        64 |          39 |         19 | Attending B  |    1 |
|        64 |          19 |          4 | Attending A  |    2 |
|        64 |           4 |       NULL | Director     |    3 |
|        65 |          65 |         40 | Resident     |    0 |
|        65 |          40 |         20 | Attending B  |    1 |
|        65 |          20 |          5 | Attending A  |    2 |
|        65 |           5 |       NULL | Director     |    3 |
|        66 |          66 |         41 | Resident     |    0 |
|        66 |          41 |         21 | Attending B  |    1 |
|        66 |          21 |          6 | Attending A  |    2 |
|        66 |           6 |       NULL | Director     |    3 |
|        67 |          67 |         42 | Resident     |    0 |
|        67 |          42 |         22 | Attending B  |    1 |
|        67 |          22 |          7 | Attending A  |    2 |
|        67 |           7 |       NULL | Director     |    3 |
|        68 |          68 |         43 | Resident     |    0 |
|        68 |          43 |         23 | Attending B  |    1 |
|        68 |          23 |          8 | Attending A  |    2 |
|        68 |           8 |       NULL | Director     |    3 |
|        69 |          69 |         44 | Resident     |    0 |
|        69 |          44 |         24 | Attending B  |    1 |
|        69 |          24 |          9 | Attending A  |    2 |
|        69 |           9 |       NULL | Director     |    3 |
|        70 |          70 |         45 | Resident     |    0 |
|        70 |          45 |         25 | Attending B  |    1 |
|        70 |          25 |         10 | Attending A  |    2 |
|        70 |          10 |       NULL | Director     |    3 |
|        71 |          71 |         46 | Resident     |    0 |
|        71 |          46 |         26 | Attending B  |    1 |
|        71 |          26 |         11 | Attending A  |    2 |
|        71 |          11 |       NULL | Director     |    3 |
|        72 |          72 |         47 | Resident     |    0 |
|        72 |          47 |         27 | Attending B  |    1 |
|        72 |          27 |         12 | Attending A  |    2 |
|        72 |          12 |       NULL | Director     |    3 |
|        73 |          73 |         48 | Resident     |    0 |
|        73 |          48 |         28 | Attending B  |    1 |
|        73 |          28 |         13 | Attending A  |    2 |
|        73 |          13 |       NULL | Director     |    3 |
|        74 |          74 |         49 | Resident     |    0 |
|        74 |          49 |         29 | Attending B  |    1 |
|        74 |          29 |         14 | Attending A  |    2 |
|        74 |          14 |       NULL | Director     |    3 |
|        75 |          75 |         50 | Resident     |    0 |
|        75 |          50 |         30 | Attending B  |    1 |
|        75 |          30 |         15 | Attending A  |    2 |
|        75 |          15 |       NULL | Director     |    3 |
|        76 |          76 |         51 | Resident     |    0 |
|        76 |          51 |         31 | Attending B  |    1 |
|        76 |          31 |          1 | Attending A  |    2 |
|        76 |           1 |       NULL | Director     |    3 |
|        77 |          77 |         52 | Resident     |    0 |
|        77 |          52 |         32 | Attending B  |    1 |
|        77 |          32 |          2 | Attending A  |    2 |
|        77 |           2 |       NULL | Director     |    3 |
|        78 |          78 |         53 | Resident     |    0 |
|        78 |          53 |         33 | Attending B  |    1 |
|        78 |          33 |          3 | Attending A  |    2 |
|        78 |           3 |       NULL | Director     |    3 |
|        79 |          79 |         54 | Resident     |    0 |
|        79 |          54 |         34 | Attending B  |    1 |
|        79 |          34 |          4 | Attending A  |    2 |
|        79 |           4 |       NULL | Director     |    3 |
|        80 |          80 |         55 | Resident     |    0 |
|        80 |          55 |         35 | Attending B  |    1 |
|        80 |          35 |          5 | Attending A  |    2 |
|        80 |           5 |       NULL | Director     |    3 |
|       231 |         231 |          1 | Attending A  |    0 |
|       231 |           1 |       NULL | Director     |    1 |
|       232 |         232 |          2 | Attending A  |    0 |
|       232 |           2 |       NULL | Director     |    1 |
|       233 |         233 |          3 | Attending A  |    0 |
|       233 |           3 |       NULL | Director     |    1 |
|       234 |         234 |          4 | Attending A  |    0 |
|       234 |           4 |       NULL | Director     |    1 |
|       235 |         235 |          5 | Attending A  |    0 |
|       235 |           5 |       NULL | Director     |    1 |
|       236 |         236 |          6 | Attending A  |    0 |
|       236 |           6 |       NULL | Director     |    1 |
|       237 |         237 |          7 | Attending A  |    0 |
|       237 |           7 |       NULL | Director     |    1 |
|       238 |         238 |          8 | Attending A  |    0 |
|       238 |           8 |       NULL | Director     |    1 |
|       239 |         239 |          9 | Attending A  |    0 |
|       239 |           9 |       NULL | Director     |    1 |
|       240 |         240 |         10 | Attending A  |    0 |
|       240 |          10 |       NULL | Director     |    1 |
|       241 |         241 |         11 | Attending A  |    0 |
|       241 |          11 |       NULL | Director     |    1 |
|       242 |         242 |         12 | Attending A  |    0 |
|       242 |          12 |       NULL | Director     |    1 |
|       243 |         243 |         13 | Attending A  |    0 |
|       243 |          13 |       NULL | Director     |    1 |
|       244 |         244 |         14 | Attending A  |    0 |
|       244 |          14 |       NULL | Director     |    1 |
|       245 |         245 |         15 | Attending A  |    0 |
|       245 |          15 |       NULL | Director     |    1 |
|       246 |         246 |          1 | Attending A  |    0 |
|       246 |           1 |       NULL | Director     |    1 |
|       247 |         247 |          2 | Attending A  |    0 |
|       247 |           2 |       NULL | Director     |    1 |
|       248 |         248 |          3 | Attending A  |    0 |
|       248 |           3 |       NULL | Director     |    1 |
|       249 |         249 |          4 | Attending A  |    0 |
|       249 |           4 |       NULL | Director     |    1 |
|       250 |         250 |          5 | Attending A  |    0 |
|       250 |           5 |       NULL | Director     |    1 |
|       251 |         251 |         16 | Attending B  |    0 |
|       251 |          16 |          1 | Attending A  |    1 |
|       251 |           1 |       NULL | Director     |    2 |
|       252 |         252 |         17 | Attending B  |    0 |
|       252 |          17 |          2 | Attending A  |    1 |
|       252 |           2 |       NULL | Director     |    2 |
|       253 |         253 |         18 | Attending B  |    0 |
|       253 |          18 |          3 | Attending A  |    1 |
|       253 |           3 |       NULL | Director     |    2 |
|       254 |         254 |         19 | Attending B  |    0 |
|       254 |          19 |          4 | Attending A  |    1 |
|       254 |           4 |       NULL | Director     |    2 |
|       255 |         255 |         20 | Attending B  |    0 |
|       255 |          20 |          5 | Attending A  |    1 |
|       255 |           5 |       NULL | Director     |    2 |
|       256 |         256 |         21 | Attending B  |    0 |
|       256 |          21 |          6 | Attending A  |    1 |
|       256 |           6 |       NULL | Director     |    2 |
|       257 |         257 |         22 | Attending B  |    0 |
|       257 |          22 |          7 | Attending A  |    1 |
|       257 |           7 |       NULL | Director     |    2 |
|       258 |         258 |         23 | Attending B  |    0 |
|       258 |          23 |          8 | Attending A  |    1 |
|       258 |           8 |       NULL | Director     |    2 |
|       259 |         259 |         24 | Attending B  |    0 |
|       259 |          24 |          9 | Attending A  |    1 |
|       259 |           9 |       NULL | Director     |    2 |
|       260 |         260 |         25 | Attending B  |    0 |
|       260 |          25 |         10 | Attending A  |    1 |
|       260 |          10 |       NULL | Director     |    2 |
|       261 |         261 |         26 | Attending B  |    0 |
|       261 |          26 |         11 | Attending A  |    1 |
|       261 |          11 |       NULL | Director     |    2 |
|       262 |         262 |         27 | Attending B  |    0 |
|       262 |          27 |         12 | Attending A  |    1 |
|       262 |          12 |       NULL | Director     |    2 |
|       263 |         263 |         28 | Attending B  |    0 |
|       263 |          28 |         13 | Attending A  |    1 |
|       263 |          13 |       NULL | Director     |    2 |
|       264 |         264 |         29 | Attending B  |    0 |
|       264 |          29 |         14 | Attending A  |    1 |
|       264 |          14 |       NULL | Director     |    2 |
|       265 |         265 |         30 | Attending B  |    0 |
|       265 |          30 |         15 | Attending A  |    1 |
|       265 |          15 |       NULL | Director     |    2 |
|       266 |         266 |         31 | Attending B  |    0 |
|       266 |          31 |          1 | Attending A  |    1 |
|       266 |           1 |       NULL | Director     |    2 |
|       267 |         267 |         32 | Attending B  |    0 |
|       267 |          32 |          2 | Attending A  |    1 |
|       267 |           2 |       NULL | Director     |    2 |
|       268 |         268 |         33 | Attending B  |    0 |
|       268 |          33 |          3 | Attending A  |    1 |
|       268 |           3 |       NULL | Director     |    2 |
|       269 |         269 |         34 | Attending B  |    0 |
|       269 |          34 |          4 | Attending A  |    1 |
|       269 |           4 |       NULL | Director     |    2 |
|       270 |         270 |         35 | Attending B  |    0 |
|       270 |          35 |          5 | Attending A  |    1 |
|       270 |           5 |       NULL | Director     |    2 |
|       271 |         271 |         16 | Attending B  |    0 |
|       271 |          16 |          1 | Attending A  |    1 |
|       271 |           1 |       NULL | Director     |    2 |
|       272 |         272 |         17 | Attending B  |    0 |
|       272 |          17 |          2 | Attending A  |    1 |
|       272 |           2 |       NULL | Director     |    2 |
|       273 |         273 |         18 | Attending B  |    0 |
|       273 |          18 |          3 | Attending A  |    1 |
|       273 |           3 |       NULL | Director     |    2 |
|       274 |         274 |         19 | Attending B  |    0 |
|       274 |          19 |          4 | Attending A  |    1 |
|       274 |           4 |       NULL | Director     |    2 |
|       275 |         275 |         20 | Attending B  |    0 |
|       275 |          20 |          5 | Attending A  |    1 |
|       275 |           5 |       NULL | Director     |    2 |
|       276 |         276 |         21 | Attending B  |    0 |
|       276 |          21 |          6 | Attending A  |    1 |
|       276 |           6 |       NULL | Director     |    2 |
|       277 |         277 |         22 | Attending B  |    0 |
|       277 |          22 |          7 | Attending A  |    1 |
|       277 |           7 |       NULL | Director     |    2 |
|       278 |         278 |         23 | Attending B  |    0 |
|       278 |          23 |          8 | Attending A  |    1 |
|       278 |           8 |       NULL | Director     |    2 |
|       279 |         279 |         24 | Attending B  |    0 |
|       279 |          24 |          9 | Attending A  |    1 |
|       279 |           9 |       NULL | Director     |    2 |
|       280 |         280 |         25 | Attending B  |    0 |
|       280 |          25 |         10 | Attending A  |    1 |
|       280 |          10 |       NULL | Director     |    2 |
|       281 |         281 |         36 | Resident     |    0 |
|       281 |          36 |         16 | Attending B  |    1 |
|       281 |          16 |          1 | Attending A  |    2 |
|       281 |           1 |       NULL | Director     |    3 |
|       282 |         282 |         37 | Resident     |    0 |
|       282 |          37 |         17 | Attending B  |    1 |
|       282 |          17 |          2 | Attending A  |    2 |
|       282 |           2 |       NULL | Director     |    3 |
|       283 |         283 |         38 | Resident     |    0 |
|       283 |          38 |         18 | Attending B  |    1 |
|       283 |          18 |          3 | Attending A  |    2 |
|       283 |           3 |       NULL | Director     |    3 |
|       284 |         284 |         39 | Resident     |    0 |
|       284 |          39 |         19 | Attending B  |    1 |
|       284 |          19 |          4 | Attending A  |    2 |
|       284 |           4 |       NULL | Director     |    3 |
|       285 |         285 |         40 | Resident     |    0 |
|       285 |          40 |         20 | Attending B  |    1 |
|       285 |          20 |          5 | Attending A  |    2 |
|       285 |           5 |       NULL | Director     |    3 |
|       286 |         286 |         41 | Resident     |    0 |
|       286 |          41 |         21 | Attending B  |    1 |
|       286 |          21 |          6 | Attending A  |    2 |
|       286 |           6 |       NULL | Director     |    3 |
|       287 |         287 |         42 | Resident     |    0 |
|       287 |          42 |         22 | Attending B  |    1 |
|       287 |          22 |          7 | Attending A  |    2 |
|       287 |           7 |       NULL | Director     |    3 |
|       288 |         288 |         43 | Resident     |    0 |
|       288 |          43 |         23 | Attending B  |    1 |
|       288 |          23 |          8 | Attending A  |    2 |
|       288 |           8 |       NULL | Director     |    3 |
|       289 |         289 |         44 | Resident     |    0 |
|       289 |          44 |         24 | Attending B  |    1 |
|       289 |          24 |          9 | Attending A  |    2 |
|       289 |           9 |       NULL | Director     |    3 |
|       290 |         290 |         45 | Resident     |    0 |
|       290 |          45 |         25 | Attending B  |    1 |
|       290 |          25 |         10 | Attending A  |    2 |
|       290 |          10 |       NULL | Director     |    3 |
|       291 |         291 |         46 | Resident     |    0 |
|       291 |          46 |         26 | Attending B  |    1 |
|       291 |          26 |         11 | Attending A  |    2 |
|       291 |          11 |       NULL | Director     |    3 |
|       292 |         292 |         47 | Resident     |    0 |
|       292 |          47 |         27 | Attending B  |    1 |
|       292 |          27 |         12 | Attending A  |    2 |
|       292 |          12 |       NULL | Director     |    3 |
|       293 |         293 |         48 | Resident     |    0 |
|       293 |          48 |         28 | Attending B  |    1 |
|       293 |          28 |         13 | Attending A  |    2 |
|       293 |          13 |       NULL | Director     |    3 |
|       294 |         294 |         49 | Resident     |    0 |
|       294 |          49 |         29 | Attending B  |    1 |
|       294 |          29 |         14 | Attending A  |    2 |
|       294 |          14 |       NULL | Director     |    3 |
|       295 |         295 |         50 | Resident     |    0 |
|       295 |          50 |         30 | Attending B  |    1 |
|       295 |          30 |         15 | Attending A  |    2 |
|       295 |          15 |       NULL | Director     |    3 |
|       296 |         296 |         51 | Resident     |    0 |
|       296 |          51 |         31 | Attending B  |    1 |
|       296 |          31 |          1 | Attending A  |    2 |
|       296 |           1 |       NULL | Director     |    3 |
|       297 |         297 |         52 | Resident     |    0 |
|       297 |          52 |         32 | Attending B  |    1 |
|       297 |          32 |          2 | Attending A  |    2 |
|       297 |           2 |       NULL | Director     |    3 |
|       298 |         298 |         53 | Resident     |    0 |
|       298 |          53 |         33 | Attending B  |    1 |
|       298 |          33 |          3 | Attending A  |    2 |
|       298 |           3 |       NULL | Director     |    3 |
|       299 |         299 |         54 | Resident     |    0 |
|       299 |          54 |         34 | Attending B  |    1 |
|       299 |          34 |          4 | Attending A  |    2 |
|       299 |           4 |       NULL | Director     |    3 |
|       300 |         300 |         55 | Resident     |    0 |
|       300 |          55 |         35 | Attending B  |    1 |
|       300 |          35 |          5 | Attending A  |    2 |
|       300 |           5 |       NULL | Director     |    3 |
+-----------+-------------+------------+--------------+------+
