+------------------+------------+-----------+----------------------+-------------------------+---------------------+
| department_name  | shift_date | slot      | staff_type           | subtype                 | number_of_personnel |
| Anesthesiology   | 2026-05-19 | night     | administrative staff | Procurement Officer     |                   1 |
| Anesthesiology   | 2026-05-19 | night     | doctor               | Anesthesiology          |                   1 |
| Anesthesiology   | 2026-05-19 | night     | doctor               | Neurosurgeon            |                   1 |
| Anesthesiology   | 2026-05-19 | night     | doctor               | Oncology                |                   1 |
| Anesthesiology   | 2026-05-19 | night     | nurse                | head nurse              |                   1 |
| Anesthesiology   | 2026-05-19 | night     | nurse                | nurse                   |                   3 |
| Anesthesiology   | 2026-05-19 | night     | nurse                | nursing assistant       |                   2 |
| Anesthesiology   | 2026-05-20 | afternoon | administrative staff | Inventory Manager       |                   1 |
| Anesthesiology   | 2026-05-20 | afternoon | administrative staff | Procurement Officer     |                   1 |
| Anesthesiology   | 2026-05-20 | afternoon | doctor               | Anesthesiology          |                   1 |
| Anesthesiology   | 2026-05-20 | afternoon | doctor               | Neurosurgeon            |                   1 |
| Anesthesiology   | 2026-05-20 | afternoon | doctor               | Oncology                |                   1 |
| Anesthesiology   | 2026-05-20 | afternoon | nurse                | head nurse              |                   1 |
| Anesthesiology   | 2026-05-20 | afternoon | nurse                | nurse                   |                   3 |
| Anesthesiology   | 2026-05-20 | afternoon | nurse                | nursing assistant       |                   2 |
| Anesthesiology   | 2026-05-20 | morning   | administrative staff | Accountant              |                   1 |
| Anesthesiology   | 2026-05-20 | morning   | administrative staff | Administrative Director |                   1 |
| Anesthesiology   | 2026-05-20 | morning   | doctor               | Anesthesiology          |                   2 |
| Anesthesiology   | 2026-05-20 | morning   | doctor               | Endocrinology           |                   1 |
| Anesthesiology   | 2026-05-20 | morning   | nurse                | nurse                   |                   6 |
| Anesthesiology   | 2026-05-20 | night     | administrative staff | Accountant              |                   1 |
| Anesthesiology   | 2026-05-20 | night     | administrative staff | Administrative Director |                   1 |
| Anesthesiology   | 2026-05-20 | night     | doctor               | Anesthesiology          |                   2 |
| Anesthesiology   | 2026-05-20 | night     | doctor               | Endocrinology           |                   1 |
| Anesthesiology   | 2026-05-20 | night     | nurse                | nurse                   |                   6 |
| Anesthesiology   | 2026-05-21 | afternoon | administrative staff | Accountant              |                   1 |
| Anesthesiology   | 2026-05-21 | afternoon | administrative staff | Administrative Director |                   1 |
| Anesthesiology   | 2026-05-21 | afternoon | doctor               | Anesthesiology          |                   2 |
| Anesthesiology   | 2026-05-21 | afternoon | doctor               | Endocrinology           |                   1 |
| Anesthesiology   | 2026-05-21 | afternoon | nurse                | nurse                   |                   6 |
| Anesthesiology   | 2026-05-21 | morning   | administrative staff | Inventory Manager       |                   1 |
| Anesthesiology   | 2026-05-21 | morning   | administrative staff | Procurement Officer     |                   1 |
| Anesthesiology   | 2026-05-21 | morning   | doctor               | Anesthesiology          |                   1 |
| Anesthesiology   | 2026-05-21 | morning   | doctor               | Neurosurgeon            |                   1 |
| Anesthesiology   | 2026-05-21 | morning   | doctor               | Oncology                |                   1 |
| Anesthesiology   | 2026-05-21 | morning   | nurse                | head nurse              |                   1 |
| Anesthesiology   | 2026-05-21 | morning   | nurse                | nurse                   |                   3 |
| Anesthesiology   | 2026-05-21 | morning   | nurse                | nursing assistant       |                   2 |
| Anesthesiology   | 2026-05-21 | night     | administrative staff | Inventory Manager       |                   1 |
| Anesthesiology   | 2026-05-21 | night     | administrative staff | Procurement Officer     |                   1 |
| Anesthesiology   | 2026-05-21 | night     | doctor               | Anesthesiology          |                   1 |
| Anesthesiology   | 2026-05-21 | night     | doctor               | Neurosurgeon            |                   1 |
| Anesthesiology   | 2026-05-21 | night     | doctor               | Oncology                |                   1 |
| Anesthesiology   | 2026-05-21 | night     | nurse                | head nurse              |                   1 |
| Anesthesiology   | 2026-05-21 | night     | nurse                | nurse                   |                   3 |
| Anesthesiology   | 2026-05-21 | night     | nurse                | nursing assistant       |                   2 |
| Anesthesiology   | 2026-05-22 | afternoon | administrative staff | Inventory Manager       |                   1 |
| Anesthesiology   | 2026-05-22 | afternoon | administrative staff | Procurement Officer     |                   1 |
| Anesthesiology   | 2026-05-22 | afternoon | doctor               | Anesthesiology          |                   1 |
| Anesthesiology   | 2026-05-22 | afternoon | doctor               | Neurosurgeon            |                   1 |
| Anesthesiology   | 2026-05-22 | afternoon | doctor               | Oncology                |                   1 |
| Anesthesiology   | 2026-05-22 | afternoon | nurse                | head nurse              |                   1 |
| Anesthesiology   | 2026-05-22 | afternoon | nurse                | nurse                   |                   3 |
| Anesthesiology   | 2026-05-22 | afternoon | nurse                | nursing assistant       |                   2 |
| Anesthesiology   | 2026-05-22 | morning   | administrative staff | Accountant              |                   1 |
| Anesthesiology   | 2026-05-22 | morning   | administrative staff | Administrative Director |                   1 |
| Anesthesiology   | 2026-05-22 | morning   | doctor               | Anesthesiology          |                   2 |
| Anesthesiology   | 2026-05-22 | morning   | doctor               | Endocrinology           |                   1 |
| Anesthesiology   | 2026-05-22 | morning   | nurse                | nurse                   |                   6 |
| Anesthesiology   | 2026-05-22 | night     | administrative staff | Accountant              |                   1 |
| Anesthesiology   | 2026-05-22 | night     | administrative staff | Administrative Director |                   1 |
| Anesthesiology   | 2026-05-22 | night     | doctor               | Anesthesiology          |                   2 |
| Anesthesiology   | 2026-05-22 | night     | doctor               | Endocrinology           |                   1 |
| Anesthesiology   | 2026-05-22 | night     | nurse                | nurse                   |                   6 |
| Anesthesiology   | 2026-05-23 | afternoon | administrative staff | Accountant              |                   1 |
| Anesthesiology   | 2026-05-23 | afternoon | administrative staff | Administrative Director |                   1 |
| Anesthesiology   | 2026-05-23 | afternoon | doctor               | Anesthesiology          |                   2 |
| Anesthesiology   | 2026-05-23 | afternoon | doctor               | Endocrinology           |                   1 |
| Anesthesiology   | 2026-05-23 | afternoon | nurse                | nurse                   |                   6 |
| Anesthesiology   | 2026-05-23 | morning   | administrative staff | Inventory Manager       |                   1 |
| Anesthesiology   | 2026-05-23 | morning   | administrative staff | Procurement Officer     |                   1 |
| Anesthesiology   | 2026-05-23 | morning   | doctor               | Anesthesiology          |                   1 |
| Anesthesiology   | 2026-05-23 | morning   | doctor               | Neurosurgeon            |                   1 |
| Anesthesiology   | 2026-05-23 | morning   | doctor               | Oncology                |                   1 |
| Anesthesiology   | 2026-05-23 | morning   | nurse                | head nurse              |                   1 |
| Anesthesiology   | 2026-05-23 | morning   | nurse                | nurse                   |                   3 |
| Anesthesiology   | 2026-05-23 | morning   | nurse                | nursing assistant       |                   2 |
| Anesthesiology   | 2026-05-23 | night     | administrative staff | Inventory Manager       |                   1 |
| Anesthesiology   | 2026-05-23 | night     | administrative staff | Procurement Officer     |                   1 |
| Anesthesiology   | 2026-05-23 | night     | doctor               | Anesthesiology          |                   1 |
| Anesthesiology   | 2026-05-23 | night     | doctor               | Neurosurgeon            |                   1 |
| Anesthesiology   | 2026-05-23 | night     | doctor               | Oncology                |                   1 |
| Anesthesiology   | 2026-05-23 | night     | nurse                | head nurse              |                   1 |
| Anesthesiology   | 2026-05-23 | night     | nurse                | nurse                   |                   3 |
| Anesthesiology   | 2026-05-23 | night     | nurse                | nursing assistant       |                   2 |
| Anesthesiology   | 2026-05-24 | afternoon | administrative staff | Inventory Manager       |                   1 |
| Anesthesiology   | 2026-05-24 | afternoon | administrative staff | Procurement Officer     |                   1 |
| Anesthesiology   | 2026-05-24 | afternoon | doctor               | Anesthesiology          |                   1 |
| Anesthesiology   | 2026-05-24 | afternoon | doctor               | Neurosurgeon            |                   1 |
| Anesthesiology   | 2026-05-24 | afternoon | doctor               | Oncology                |                   1 |
| Anesthesiology   | 2026-05-24 | afternoon | nurse                | head nurse              |                   1 |
| Anesthesiology   | 2026-05-24 | afternoon | nurse                | nurse                   |                   3 |
| Anesthesiology   | 2026-05-24 | afternoon | nurse                | nursing assistant       |                   2 |
| Anesthesiology   | 2026-05-24 | morning   | administrative staff | Accountant              |                   1 |
| Anesthesiology   | 2026-05-24 | morning   | administrative staff | Administrative Director |                   1 |
| Anesthesiology   | 2026-05-24 | morning   | doctor               | Anesthesiology          |                   2 |
| Anesthesiology   | 2026-05-24 | morning   | doctor               | Endocrinology           |                   1 |
| Anesthesiology   | 2026-05-24 | morning   | nurse                | nurse                   |                   6 |
| Anesthesiology   | 2026-05-24 | night     | administrative staff | Accountant              |                   1 |
| Anesthesiology   | 2026-05-24 | night     | administrative staff | Administrative Director |                   1 |
| Anesthesiology   | 2026-05-24 | night     | doctor               | Anesthesiology          |                   2 |
| Anesthesiology   | 2026-05-24 | night     | doctor               | Endocrinology           |                   1 |
| Anesthesiology   | 2026-05-24 | night     | nurse                | nurse                   |                   6 |
| Cardiology       | 2026-05-18 | afternoon | administrative staff | Admissions Officer      |                   1 |
| Cardiology       | 2026-05-18 | afternoon | administrative staff | Department Secretary    |                   1 |
| Cardiology       | 2026-05-18 | afternoon | doctor               | Cardiology              |                   2 |
| Cardiology       | 2026-05-18 | afternoon | doctor               | Endocrinology           |                   1 |
| Cardiology       | 2026-05-18 | afternoon | nurse                | head nurse              |                   1 |
| Cardiology       | 2026-05-18 | afternoon | nurse                | nurse                   |                   3 |
| Cardiology       | 2026-05-18 | afternoon | nurse                | nursing assistant       |                   2 |
| Cardiology       | 2026-05-18 | morning   | administrative staff | Admissions Officer      |                   1 |
| Cardiology       | 2026-05-18 | morning   | administrative staff | HR Officer              |                   1 |
| Cardiology       | 2026-05-18 | morning   | doctor               | Anesthesiology          |                   1 |
| Cardiology       | 2026-05-18 | morning   | doctor               | Cardiology              |                   2 |
| Cardiology       | 2026-05-18 | morning   | nurse                | head nurse              |                   3 |
| Cardiology       | 2026-05-18 | morning   | nurse                | nursing assistant       |                   3 |
| Cardiology       | 2026-05-18 | night     | administrative staff | Admissions Officer      |                   1 |
| Cardiology       | 2026-05-18 | night     | administrative staff | HR Officer              |                   1 |
| Cardiology       | 2026-05-18 | night     | doctor               | Anesthesiology          |                   1 |
| Cardiology       | 2026-05-18 | night     | doctor               | Cardiology              |                   2 |
| Cardiology       | 2026-05-18 | night     | nurse                | head nurse              |                   3 |
| Cardiology       | 2026-05-18 | night     | nurse                | nursing assistant       |                   3 |
| Cardiology       | 2026-05-19 | afternoon | administrative staff | Admissions Officer      |                   1 |
| Cardiology       | 2026-05-19 | afternoon | administrative staff | HR Officer              |                   1 |
| Cardiology       | 2026-05-19 | afternoon | doctor               | Anesthesiology          |                   1 |
| Cardiology       | 2026-05-19 | afternoon | doctor               | Cardiology              |                   2 |
| Cardiology       | 2026-05-19 | afternoon | nurse                | head nurse              |                   3 |
| Cardiology       | 2026-05-19 | afternoon | nurse                | nursing assistant       |                   3 |
| Cardiology       | 2026-05-19 | morning   | administrative staff | Admissions Officer      |                   1 |
| Cardiology       | 2026-05-19 | morning   | administrative staff | Department Secretary    |                   1 |
| Cardiology       | 2026-05-19 | morning   | doctor               | Cardiology              |                   2 |
| Cardiology       | 2026-05-19 | morning   | doctor               | Endocrinology           |                   1 |
| Cardiology       | 2026-05-19 | morning   | nurse                | head nurse              |                   1 |
| Cardiology       | 2026-05-19 | morning   | nurse                | nurse                   |                   3 |
| Cardiology       | 2026-05-19 | morning   | nurse                | nursing assistant       |                   2 |
| Cardiology       | 2026-05-19 | night     | administrative staff | Admissions Officer      |                   1 |
| Cardiology       | 2026-05-19 | night     | administrative staff | Department Secretary    |                   1 |
| Cardiology       | 2026-05-19 | night     | doctor               | Cardiology              |                   2 |
| Cardiology       | 2026-05-19 | night     | doctor               | Endocrinology           |                   1 |
| Cardiology       | 2026-05-19 | night     | nurse                | head nurse              |                   1 |
| Cardiology       | 2026-05-19 | night     | nurse                | nurse                   |                   3 |
| Cardiology       | 2026-05-19 | night     | nurse                | nursing assistant       |                   2 |
| Cardiology       | 2026-05-20 | afternoon | administrative staff | Admissions Officer      |                   1 |
| Cardiology       | 2026-05-20 | afternoon | administrative staff | Department Secretary    |                   1 |
| Cardiology       | 2026-05-20 | afternoon | doctor               | Cardiology              |                   2 |
| Cardiology       | 2026-05-20 | afternoon | doctor               | Endocrinology           |                   1 |
| Cardiology       | 2026-05-20 | afternoon | nurse                | head nurse              |                   1 |
| Cardiology       | 2026-05-20 | afternoon | nurse                | nurse                   |                   3 |
| Cardiology       | 2026-05-20 | afternoon | nurse                | nursing assistant       |                   2 |
| Cardiology       | 2026-05-20 | morning   | administrative staff | Admissions Officer      |                   1 |
| Cardiology       | 2026-05-20 | morning   | administrative staff | HR Officer              |                   1 |
| Cardiology       | 2026-05-20 | morning   | doctor               | Anesthesiology          |                   1 |
| Cardiology       | 2026-05-20 | morning   | doctor               | Cardiology              |                   2 |
| Cardiology       | 2026-05-20 | morning   | nurse                | head nurse              |                   3 |
| Cardiology       | 2026-05-20 | morning   | nurse                | nursing assistant       |                   3 |
| Cardiology       | 2026-05-20 | night     | administrative staff | Admissions Officer      |                   1 |
| Cardiology       | 2026-05-20 | night     | administrative staff | HR Officer              |                   1 |
| Cardiology       | 2026-05-20 | night     | doctor               | Anesthesiology          |                   1 |
| Cardiology       | 2026-05-20 | night     | doctor               | Cardiology              |                   2 |
| Cardiology       | 2026-05-20 | night     | nurse                | head nurse              |                   3 |
| Cardiology       | 2026-05-20 | night     | nurse                | nursing assistant       |                   3 |
| Cardiology       | 2026-05-21 | afternoon | administrative staff | Admissions Officer      |                   1 |
| Cardiology       | 2026-05-21 | afternoon | administrative staff | HR Officer              |                   1 |
| Cardiology       | 2026-05-21 | afternoon | doctor               | Anesthesiology          |                   1 |
| Cardiology       | 2026-05-21 | afternoon | doctor               | Cardiology              |                   2 |
| Cardiology       | 2026-05-21 | afternoon | nurse                | head nurse              |                   3 |
| Cardiology       | 2026-05-21 | afternoon | nurse                | nursing assistant       |                   3 |
| Cardiology       | 2026-05-21 | morning   | administrative staff | Admissions Officer      |                   1 |
| Cardiology       | 2026-05-21 | morning   | administrative staff | Department Secretary    |                   1 |
| Cardiology       | 2026-05-21 | morning   | doctor               | Cardiology              |                   2 |
| Cardiology       | 2026-05-21 | morning   | doctor               | Endocrinology           |                   1 |
| Cardiology       | 2026-05-21 | morning   | nurse                | head nurse              |                   1 |
| Cardiology       | 2026-05-21 | morning   | nurse                | nurse                   |                   3 |
| Cardiology       | 2026-05-21 | morning   | nurse                | nursing assistant       |                   2 |
| Cardiology       | 2026-05-21 | night     | administrative staff | Admissions Officer      |                   1 |
| Cardiology       | 2026-05-21 | night     | administrative staff | Department Secretary    |                   1 |
| Cardiology       | 2026-05-21 | night     | doctor               | Cardiology              |                   2 |
| Cardiology       | 2026-05-21 | night     | doctor               | Endocrinology           |                   1 |
| Cardiology       | 2026-05-21 | night     | nurse                | head nurse              |                   1 |
| Cardiology       | 2026-05-21 | night     | nurse                | nurse                   |                   3 |
| Cardiology       | 2026-05-21 | night     | nurse                | nursing assistant       |                   2 |
| Cardiology       | 2026-05-22 | afternoon | administrative staff | Admissions Officer      |                   1 |
| Cardiology       | 2026-05-22 | afternoon | administrative staff | Department Secretary    |                   1 |
| Cardiology       | 2026-05-22 | afternoon | doctor               | Cardiology              |                   2 |
| Cardiology       | 2026-05-22 | afternoon | doctor               | Endocrinology           |                   1 |
| Cardiology       | 2026-05-22 | afternoon | nurse                | head nurse              |                   1 |
| Cardiology       | 2026-05-22 | afternoon | nurse                | nurse                   |                   3 |
| Cardiology       | 2026-05-22 | afternoon | nurse                | nursing assistant       |                   2 |
| Cardiology       | 2026-05-22 | morning   | administrative staff | Admissions Officer      |                   1 |
| Cardiology       | 2026-05-22 | morning   | administrative staff | HR Officer              |                   1 |
| Cardiology       | 2026-05-22 | morning   | doctor               | Anesthesiology          |                   1 |
| Cardiology       | 2026-05-22 | morning   | doctor               | Cardiology              |                   2 |
| Cardiology       | 2026-05-22 | morning   | nurse                | head nurse              |                   3 |
| Cardiology       | 2026-05-22 | morning   | nurse                | nursing assistant       |                   3 |
| Cardiology       | 2026-05-22 | night     | administrative staff | Admissions Officer      |                   1 |
| Cardiology       | 2026-05-22 | night     | administrative staff | HR Officer              |                   1 |
| Cardiology       | 2026-05-22 | night     | doctor               | Anesthesiology          |                   1 |
| Cardiology       | 2026-05-22 | night     | doctor               | Cardiology              |                   2 |
| Cardiology       | 2026-05-22 | night     | nurse                | head nurse              |                   3 |
| Cardiology       | 2026-05-22 | night     | nurse                | nursing assistant       |                   3 |
| Cardiology       | 2026-05-23 | afternoon | administrative staff | Admissions Officer      |                   1 |
| Cardiology       | 2026-05-23 | afternoon | administrative staff | HR Officer              |                   1 |
| Cardiology       | 2026-05-23 | afternoon | doctor               | Anesthesiology          |                   1 |
| Cardiology       | 2026-05-23 | afternoon | doctor               | Cardiology              |                   2 |
| Cardiology       | 2026-05-23 | afternoon | nurse                | head nurse              |                   3 |
| Cardiology       | 2026-05-23 | afternoon | nurse                | nursing assistant       |                   3 |
| Cardiology       | 2026-05-23 | morning   | administrative staff | Admissions Officer      |                   1 |
| Cardiology       | 2026-05-23 | morning   | administrative staff | Department Secretary    |                   1 |
| Cardiology       | 2026-05-23 | morning   | doctor               | Cardiology              |                   2 |
| Cardiology       | 2026-05-23 | morning   | doctor               | Endocrinology           |                   1 |
| Cardiology       | 2026-05-23 | morning   | nurse                | head nurse              |                   1 |
| Cardiology       | 2026-05-23 | morning   | nurse                | nurse                   |                   3 |
| Cardiology       | 2026-05-23 | morning   | nurse                | nursing assistant       |                   2 |
| Cardiology       | 2026-05-23 | night     | administrative staff | Admissions Officer      |                   1 |
| Cardiology       | 2026-05-23 | night     | administrative staff | Department Secretary    |                   1 |
| Cardiology       | 2026-05-23 | night     | doctor               | Cardiology              |                   2 |
| Cardiology       | 2026-05-23 | night     | doctor               | Endocrinology           |                   1 |
| Cardiology       | 2026-05-23 | night     | nurse                | head nurse              |                   1 |
| Cardiology       | 2026-05-23 | night     | nurse                | nurse                   |                   3 |
| Cardiology       | 2026-05-23 | night     | nurse                | nursing assistant       |                   2 |
| Cardiology       | 2026-05-24 | afternoon | administrative staff | Admissions Officer      |                   1 |
| Cardiology       | 2026-05-24 | afternoon | administrative staff | Department Secretary    |                   1 |
| Cardiology       | 2026-05-24 | afternoon | doctor               | Cardiology              |                   2 |
| Cardiology       | 2026-05-24 | afternoon | doctor               | Endocrinology           |                   1 |
| Cardiology       | 2026-05-24 | afternoon | nurse                | head nurse              |                   1 |
| Cardiology       | 2026-05-24 | afternoon | nurse                | nurse                   |                   3 |
| Cardiology       | 2026-05-24 | afternoon | nurse                | nursing assistant       |                   2 |
| Cardiology       | 2026-05-24 | morning   | administrative staff | Admissions Officer      |                   1 |
| Cardiology       | 2026-05-24 | morning   | administrative staff | HR Officer              |                   1 |
| Cardiology       | 2026-05-24 | morning   | doctor               | Anesthesiology          |                   1 |
| Cardiology       | 2026-05-24 | morning   | doctor               | Cardiology              |                   2 |
| Cardiology       | 2026-05-24 | morning   | nurse                | head nurse              |                   3 |
| Cardiology       | 2026-05-24 | morning   | nurse                | nursing assistant       |                   3 |
| Cardiology       | 2026-05-24 | night     | administrative staff | Admissions Officer      |                   1 |
| Cardiology       | 2026-05-24 | night     | administrative staff | HR Officer              |                   1 |
| Cardiology       | 2026-05-24 | night     | doctor               | Anesthesiology          |                   1 |
| Cardiology       | 2026-05-24 | night     | doctor               | Cardiology              |                   2 |
| Cardiology       | 2026-05-24 | night     | nurse                | head nurse              |                   3 |
| Cardiology       | 2026-05-24 | night     | nurse                | nursing assistant       |                   3 |
| Dermatology      | 2026-05-18 | afternoon | administrative staff | Admissions Officer      |                   1 |
| Dermatology      | 2026-05-18 | afternoon | administrative staff | Department Secretary    |                   1 |
| Dermatology      | 2026-05-18 | afternoon | doctor               | Cardiology              |                   1 |
| Dermatology      | 2026-05-18 | afternoon | doctor               | Dermatology             |                   1 |
| Dermatology      | 2026-05-18 | afternoon | doctor               | Gynecology              |                   1 |
| Dermatology      | 2026-05-18 | afternoon | nurse                | head nurse              |                   1 |
| Dermatology      | 2026-05-18 | afternoon | nurse                | nurse                   |                   3 |
| Dermatology      | 2026-05-18 | afternoon | nurse                | nursing assistant       |                   2 |
| Dermatology      | 2026-05-18 | morning   | administrative staff | Admissions Officer      |                   1 |
| Dermatology      | 2026-05-18 | morning   | administrative staff | HR Officer              |                   1 |
| Dermatology      | 2026-05-18 | morning   | doctor               | Dermatology             |                   2 |
| Dermatology      | 2026-05-18 | morning   | doctor               | Neurology               |                   1 |
| Dermatology      | 2026-05-18 | morning   | nurse                | head nurse              |                   3 |
| Dermatology      | 2026-05-18 | morning   | nurse                | nurse                   |                   3 |
| Dermatology      | 2026-05-18 | night     | administrative staff | Admissions Officer      |                   1 |
| Dermatology      | 2026-05-18 | night     | administrative staff | HR Officer              |                   1 |
| Dermatology      | 2026-05-18 | night     | doctor               | Dermatology             |                   2 |
| Dermatology      | 2026-05-18 | night     | doctor               | Neurology               |                   1 |
| Dermatology      | 2026-05-18 | night     | nurse                | head nurse              |                   3 |
| Dermatology      | 2026-05-18 | night     | nurse                | nurse                   |                   3 |
| Dermatology      | 2026-05-19 | afternoon | administrative staff | Admissions Officer      |                   1 |
| Dermatology      | 2026-05-19 | afternoon | administrative staff | HR Officer              |                   1 |
| Dermatology      | 2026-05-19 | afternoon | doctor               | Dermatology             |                   2 |
| Dermatology      | 2026-05-19 | afternoon | doctor               | Neurology               |                   1 |
| Dermatology      | 2026-05-19 | afternoon | nurse                | head nurse              |                   3 |
| Dermatology      | 2026-05-19 | afternoon | nurse                | nurse                   |                   3 |
| Dermatology      | 2026-05-19 | morning   | administrative staff | Admissions Officer      |                   1 |
| Dermatology      | 2026-05-19 | morning   | administrative staff | Department Secretary    |                   1 |
| Dermatology      | 2026-05-19 | morning   | doctor               | Cardiology              |                   1 |
| Dermatology      | 2026-05-19 | morning   | doctor               | Dermatology             |                   1 |
| Dermatology      | 2026-05-19 | morning   | doctor               | Gynecology              |                   1 |
| Dermatology      | 2026-05-19 | morning   | nurse                | head nurse              |                   1 |
| Dermatology      | 2026-05-19 | morning   | nurse                | nurse                   |                   3 |
| Dermatology      | 2026-05-19 | morning   | nurse                | nursing assistant       |                   2 |
| Dermatology      | 2026-05-19 | night     | administrative staff | Admissions Officer      |                   1 |
| Dermatology      | 2026-05-19 | night     | administrative staff | Department Secretary    |                   1 |
| Dermatology      | 2026-05-19 | night     | doctor               | Cardiology              |                   1 |
| Dermatology      | 2026-05-19 | night     | doctor               | Dermatology             |                   1 |
| Dermatology      | 2026-05-19 | night     | doctor               | Gynecology              |                   1 |
| Dermatology      | 2026-05-19 | night     | nurse                | head nurse              |                   1 |
| Dermatology      | 2026-05-19 | night     | nurse                | nurse                   |                   3 |
| Dermatology      | 2026-05-19 | night     | nurse                | nursing assistant       |                   2 |
| Dermatology      | 2026-05-20 | afternoon | administrative staff | Admissions Officer      |                   1 |
| Dermatology      | 2026-05-20 | afternoon | administrative staff | Department Secretary    |                   1 |
| Dermatology      | 2026-05-20 | afternoon | doctor               | Cardiology              |                   1 |
| Dermatology      | 2026-05-20 | afternoon | doctor               | Dermatology             |                   1 |
| Dermatology      | 2026-05-20 | afternoon | doctor               | Gynecology              |                   1 |
| Dermatology      | 2026-05-20 | afternoon | nurse                | head nurse              |                   1 |
| Dermatology      | 2026-05-20 | afternoon | nurse                | nurse                   |                   3 |
| Dermatology      | 2026-05-20 | afternoon | nurse                | nursing assistant       |                   2 |
| Dermatology      | 2026-05-20 | morning   | administrative staff | Admissions Officer      |                   1 |
| Dermatology      | 2026-05-20 | morning   | administrative staff | HR Officer              |                   1 |
| Dermatology      | 2026-05-20 | morning   | doctor               | Dermatology             |                   2 |
| Dermatology      | 2026-05-20 | morning   | doctor               | Neurology               |                   1 |
| Dermatology      | 2026-05-20 | morning   | nurse                | head nurse              |                   3 |
| Dermatology      | 2026-05-20 | morning   | nurse                | nurse                   |                   3 |
| Dermatology      | 2026-05-20 | night     | administrative staff | Admissions Officer      |                   1 |
| Dermatology      | 2026-05-20 | night     | administrative staff | HR Officer              |                   1 |
| Dermatology      | 2026-05-20 | night     | doctor               | Dermatology             |                   2 |
| Dermatology      | 2026-05-20 | night     | doctor               | Neurology               |                   1 |
| Dermatology      | 2026-05-20 | night     | nurse                | head nurse              |                   3 |
| Dermatology      | 2026-05-20 | night     | nurse                | nurse                   |                   3 |
| Dermatology      | 2026-05-21 | afternoon | administrative staff | Admissions Officer      |                   1 |
| Dermatology      | 2026-05-21 | afternoon | administrative staff | HR Officer              |                   1 |
| Dermatology      | 2026-05-21 | afternoon | doctor               | Dermatology             |                   2 |
| Dermatology      | 2026-05-21 | afternoon | doctor               | Neurology               |                   1 |
| Dermatology      | 2026-05-21 | afternoon | nurse                | head nurse              |                   3 |
| Dermatology      | 2026-05-21 | afternoon | nurse                | nurse                   |                   3 |
| Dermatology      | 2026-05-21 | morning   | administrative staff | Admissions Officer      |                   1 |
